mesh_index,h,enforcement,p,projector,exponent_label,exponent,quadrature_degree,c_stab,skipped_zero_bases
6,0.23570226039551595,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000002,0
6,0.23570226039551595,multiplier,1.5,P_h_perp,2,2.0,6,0.7517459050400895,0
6,0.23570226039551595,multiplier,1.5,P_h_perp,p,1.5,6,0.9679379564088259,0
6,0.23570226039551595,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7072287901453744,0
6,0.23570226039551595,multiplier,2.5,P_h,2,2.0,6,1.0000000000000002,0
6,0.23570226039551595,multiplier,2.5,P_h,p,2.5,6,1.0000000000000004,0
6,0.23570226039551595,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000007,0
6,0.23570226039551595,multiplier,2.5,P_h_perp,2,2.0,6,0.7517459050400895,0
6,0.23570226039551595,multiplier,2.5,P_h_perp,p,2.5,6,0.7251041681478256,0
6,0.23570226039551595,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8443600634674718,0
6,0.23570226039551595,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
6,0.23570226039551595,strong,1.5,P_h,p,1.5,6,1.1047790498951864,0
6,0.23570226039551595,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
6,0.23570226039551595,strong,1.5,P_h_perp,2,2.0,6,0.7710164334309544,0
6,0.23570226039551595,strong,1.5,P_h_perp,p,1.5,6,0.9679474158361088,0
6,0.23570226039551595,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038465961922105,0
6,0.23570226039551595,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
6,0.23570226039551595,strong,2.5,P_h,p,2.5,6,1.0000000000000004,0
6,0.23570226039551595,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000004,0
6,0.23570226039551595,strong,2.5,P_h_perp,2,2.0,6,0.7710164334309544,0
6,0.23570226039551595,strong,2.5,P_h_perp,p,2.5,6,0.7276481934756462,0
6,0.23570226039551595,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8440606892680954,0
7,0.20203050891044222,multiplier,1.5,P_h,2,2.0,6,1.0000000000000004,0
7,0.20203050891044222,multiplier,1.5,P_h,p,1.5,6,1.1139449250020552,0
7,0.20203050891044222,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
7,0.20203050891044222,multiplier,1.5,P_h_perp,2,2.0,6,0.7543801528530534,0
7,0.20203050891044222,multiplier,1.5,P_h_perp,p,1.5,6,0.972807378739436,0
7,0.20203050891044222,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7073568006775323,0
7,0.20203050891044222,multiplier,2.5,P_h,2,2.0,6,1.0000000000000004,0
7,0.20203050891044222,multiplier,2.5,P_h,p,2.5,6,1.0000000000000004,0
7,0.20203050891044222,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.00043317741033,0
7,0.20203050891044222,multiplier,2.5,P_h_perp,2,2.0,6,0.7543801528530534,0
7,0.20203050891044222,multiplier,2.5,P_h_perp,p,2.5,6,0.7261502633867052,0
7,0.20203050891044222,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8445114274576081,0
7,0.20203050891044222,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
7,0.20203050891044222,strong,1.5,P_h,p,1.5,6,1.11394566018111,0
7,0.20203050891044222,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
7,0.20203050891044222,strong,1.5,P_h_perp,2,2.0,6,0.7710039593311824,0
7,0.20203050891044222,strong,1.5,P_h_perp,p,1.5,6,0.9728108541478739,0
7,0.20203050891044222,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038343031013036,0
7,0.20203050891044222,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
7,0.20203050891044222,strong,2.5,P_h,p,2.5,6,1.0000000000000002,0
7,0.20203050891044222,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0004331775060766,0
7,0.20203050891044222,strong,2.5,P_h_perp,2,2.0,6,0.7710039593311824,0
7,0.20203050891044222,strong,2.5,P_h_perp,p,2.5,6,0.7276364246294557,0
7,0.20203050891044222,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8440894018630036,0
8,0.1767766952966369,multiplier,1.5,P_h,2,2.0,6,1.0000000000000004,0
8,0.1767766952966369,multiplier,1.5,P_h,p,1.5,6,1.1200815711218037,0
8,0.1767766952966369,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
8,0.1767766952966369,multiplier,1.5,P_h_perp,2,2.0,6,0.7563804538836899,0
8,0.1767766952966369,multiplier,1.5,P_h_perp,p,1.5,6,0.9757877557129363,0
8,0.1767766952966369,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7073286078814323,0
8,0.1767766952966369,multiplier,2.5,P_h,2,2.0,6,1.0000000000000004,0
8,0.1767766952966369,multiplier,2.5,P_h,p,2.5,6,1.0000000000000002,0
8,0.1767766952966369,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.002801229408323,0
8,0.1767766952966369,multiplier,2.5,P_h_perp,2,2.0,6,0.7563804538836899,0
8,0.1767766952966369,multiplier,2.5,P_h_perp,p,2.5,6,0.7268254156105126,0
8,0.1767766952966369,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8446076556402483,0
8,0.1767766952966369,strong,1.5,P_h,2,2.0,6,1.0000000000000004,0
8,0.1767766952966369,strong,1.5,P_h,p,1.5,6,1.1200819945737535,0
8,0.1767766952966369,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000002,0
8,0.1767766952966369,strong,1.5,P_h_perp,2,2.0,6,0.7709978873129222,0
8,0.1767766952966369,strong,1.5,P_h_perp,p,1.5,6,0.9757889794494918,0
8,0.1767766952966369,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038283237844454,0
8,0.1767766952966369,strong,2.5,P_h,2,2.0,6,1.0000000000000004,0
8,0.1767766952966369,strong,2.5,P_h,p,2.5,6,1.0000000000000002,0
8,0.1767766952966369,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0028013280648562,0
8,0.1767766952966369,strong,2.5,P_h_perp,2,2.0,6,0.7709978873129222,0
8,0.1767766952966369,strong,2.5,P_h_perp,p,2.5,6,0.7276307290958755,0
8,0.1767766952966369,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8441073763642469,0
9,0.1571348402636773,multiplier,1.5,P_h,2,2.0,6,1.0000000000000004,0
9,0.1571348402636773,multiplier,1.5,P_h,p,1.5,6,1.126412642777757,0
9,0.1571348402636773,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
9,0.1571348402636773,multiplier,1.5,P_h_perp,2,2.0,6,0.7579510059234308,0
9,0.1571348402636773,multiplier,1.5,P_h_perp,p,1.5,6,0.9788248161444982,0
9,0.1571348402636773,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7072307595921844,0
9,0.1571348402636773,multiplier,2.5,P_h,2,2.0,6,1.0000000000000004,0
9,0.1571348402636773,multiplier,2.5,P_h,p,2.5,6,1.0000000000000002,0
9,0.1571348402636773,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0046975270828247,0
9,0.1571348402636773,multiplier,2.5,P_h_perp,2,2.0,6,0.7579510059234308,0
9,0.1571348402636773,multiplier,2.5,P_h_perp,p,2.5,6,0.7272795287861223,0
9,0.1571348402636773,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8446702057943373,0
9,0.1571348402636773,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
9,0.1571348402636773,strong,1.5,P_h,p,1.5,6,1.1264128576328338,0
9,0.1571348402636773,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000004,0
9,0.1571348402636773,strong,1.5,P_h_perp,2,2.0,6,0.7709946491281148,0
9,0.1571348402636773,strong,1.5,P_h_perp,p,1.5,6,0.9788257516031657,0
9,0.1571348402636773,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038251365743595,0
9,0.1571348402636773,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
9,0.1571348402636773,strong,2.5,P_h,p,2.5,6,1.0000000000000002,0
9,0.1571348402636773,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0046975908471412,0
9,0.1571348402636773,strong,2.5,P_h_perp,2,2.0,6,0.7709946491281148,0
9,0.1571348402636773,strong,2.5,P_h_perp,p,2.5,6,0.7276277043818788,0
